타임스탬프,"학기 중, 지쿠터(전동킥보드, 전동자전거) 서비스를 한 번이라도 이용하십니까?","학기 중, 지쿠터 서비스(전동킥보드, 전동자전거)를 얼마나 자주 이용하나요?","학기 중, 지쿠터 서비스를 이용해 교내를 이동하는 횟수가 몇 번 입니까?","학기 중, 지쿠터 서비스를 이용해 교외로 이동하는 횟수가 몇 번 입니까?",주로 어떤 목적으로 지쿠터 서비스를 이용하십니까?,"교내에서 지쿠터 서비스를 이용 시, 학부 기숙사를 기준으로 보통 어느 정도의 거리, 경로를 이용하십니까?
(해당 경로가 없다면, 가장 비슷한 거리의 경로를 선택해주시기 바랍니다.)","교외에서 지쿠터 서비스를 이용 시, 학부 기숙사를 기준으로 보통 어느 정도의 거리, 경로를 이용하십니까?","지쿠터 서비스의 전동킥보드 이용 시, 주로 헬멧을 착용하십니까?",지쿠터 서비스가 헬멧 착용 경고 문구를 사용자에게 충분히 명시하고 있다고 생각하십니까?,지쿠터 서비스의 전동킥보드와 전동자전거가 지스트 캠퍼스의 경관(조경)을 해친다고 생각하십니까?,"지쿠터 서비스 사용자와 부딪혀 사고가 나거나, 사고가 날 뻔한 적이 있습니까?"
2023. 11. 19 오후 5:29:07,"네, 지쿠터 서비스를 이용합니다.",주 1~2회,주 0회 (교외 이동 시에만 지쿠터를 사용할 경우),주 1~2회,시간 절약을 위해서 이용합니다.,"학부 기숙사 ↔ 신소재공학동, 지환공학동, 생명과학동, 행정동","학부 기숙사 ↔ 시너지, 아크레타, 보이저","아니요, 착용하지 않습니다.",그렇지 않다,그렇지 않다,"아니오, 그렇지 않습니다."
2023. 11. 19 오후 5:31:11,"네, 지쿠터 서비스를 이용합니다.",주 9회 이상,주 9회 이상,주 0회 (교내 이동 시에만 지쿠터를 사용할 경우),시간 절약을 위해서 이용합니다.,"학부 기숙사 ↔ 신소재공학동, 지환공학동, 생명과학동, 행정동","학부 기숙사 ↔ 쌍암 공원, 또는 그 이하","아니요, 착용하지 않습니다.",매우 그렇지 않다,매우 그렇다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
2023. 11. 19 오후 5:34:32,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,그렇지 않다,"아니오, 그렇지 않습니다."
2023. 11. 19 오후 5:47:40,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,보통이다,"아니오, 그렇지 않습니다."
2023. 11. 19 오후 5:52:11,"네, 지쿠터 서비스를 이용합니다.",주 9회 이상,주 9회 이상,주 0회 (교내 이동 시에만 지쿠터를 사용할 경우),시간 절약을 위해서 이용합니다.,"학부 기숙사 ↔ 신소재공학동, 지환공학동, 생명과학동, 행정동","학부 기숙사 ↔ 쌍암 공원, 또는 그 이하","아니요, 착용하지 않습니다.",매우 그렇지 않다,매우 그렇지 않다,"아니오, 그렇지 않습니다."
2023. 11. 19 오후 6:18:42,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,보통이다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
2023. 11. 19 오후 6:23:58,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,그렇지 않다,"아니오, 그렇지 않습니다."
2023. 11. 19 오후 6:34:02,"네, 지쿠터 서비스를 이용합니다.",주 3~5회,주 0회 (교외 이동 시에만 지쿠터를 사용할 경우),주 3~5회,시간 절약을 위해서 이용합니다.,"학부 기숙사 ↔ 오룡관, 축구장, 또는 그 이상","학부 기숙사 ↔ 다이소(쌍암점, 광주첨단점)","아니요, 착용하지 않습니다.",매우 그렇지 않다,그렇지 않다,"아니오, 그렇지 않습니다."
2023. 11. 19 오후 7:57:09,"네, 지쿠터 서비스를 이용합니다.",주 1~2회,주 0회 (교외 이동 시에만 지쿠터를 사용할 경우),주 1~2회,시간 절약을 위해서 이용합니다.,"학부 기숙사 ↔ 오룡관, 축구장, 또는 그 이상","학부 기숙사 ↔ 다이소(쌍암점, 광주첨단점)","아니요, 착용하지 않습니다.",보통이다,보통이다,"아니오, 그렇지 않습니다."
2023. 11. 19 오후 11:06:21,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,그렇다,"아니오, 그렇지 않습니다."
2023. 11. 19 오후 11:32:41,"네, 지쿠터 서비스를 이용합니다.",주 3~5회,주 3~5회,주 0회 (교내 이동 시에만 지쿠터를 사용할 경우),시간 절약을 위해서 이용합니다.,"학부 기숙사 ↔ 오룡관, 축구장, 또는 그 이상","학부 기숙사 ↔ 다이소(쌍암점, 광주첨단점)","아니요, 착용하지 않습니다.",그렇지 않다,그렇다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
2023. 11. 19 오후 11:32:53,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,매우 그렇다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
2023. 11. 19 오후 11:32:59,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,그렇다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
2023. 11. 19 오후 11:33:32,"네, 지쿠터 서비스를 이용합니다.",주 1~2회,주 0회 (교외 이동 시에만 지쿠터를 사용할 경우),주 1~2회,시간 절약을 위해서 이용합니다.,학부 기숙사 ↔ 전컴동 및 금호관,학부 기숙사 ↔ LC타워,"아니요, 착용하지 않습니다.",매우 그렇지 않다,그렇다,"아니오, 그렇지 않습니다."
2023. 11. 19 오후 11:33:45,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,매우 그렇다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
2023. 11. 19 오후 11:34:13,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,보통이다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
2023. 11. 19 오후 11:34:51,"네, 지쿠터 서비스를 이용합니다.",주 3~5회,주 3~5회,주 0회 (교내 이동 시에만 지쿠터를 사용할 경우),시간 절약을 위해서 이용합니다.,학부 기숙사 ↔ 전컴동 및 금호관,"학부 기숙사 ↔ 다이소(쌍암점, 광주첨단점)","아니요, 착용하지 않습니다.",그렇지 않다,그렇다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
2023. 11. 19 오후 11:36:18,"네, 지쿠터 서비스를 이용합니다.",주 6~8회,주 3~5회,주 1~2회,시간 절약을 위해서 이용합니다.,"학부 기숙사 ↔ 신소재공학동, 지환공학동, 생명과학동, 행정동",학부 기숙사 ↔ LC타워,"아니요, 착용하지 않습니다.",그렇지 않다,매우 그렇다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
2023. 11. 19 오후 11:36:31,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,그렇다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
2023. 11. 19 오후 11:36:41,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,보통이다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
2023. 11. 19 오후 11:36:48,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,그렇다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
2023. 11. 19 오후 11:36:54,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,매우 그렇다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
2023. 11. 22 오후 10:34:30,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,그렇다,"아니오, 그렇지 않습니다."
2023. 11. 22 오후 10:34:38,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,보통이다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
2023. 11. 22 오후 10:34:46,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,매우 그렇다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
2023. 11. 22 오후 10:35:20,"아니오, 지쿠터 서비스를 이용하지 않습니다.",,,,,,,,,보통이다,"아니오, 그렇지 않습니다."
2023. 11. 22 오후 10:39:58,"네, 지쿠터 서비스를 이용합니다.",주 3~5회,주 3~5회,주 0회 (교내 이동 시에만 지쿠터를 사용할 경우),시간 절약을 위해서 이용합니다.,"학부 기숙사 ↔ 신소재공학동, 지환공학동, 생명과학동, 행정동","학부 기숙사 ↔ 쌍암 공원, 또는 그 이하","네, 착용합니다",그렇다,그렇다,"네, 사고가 나거나 날 뻔한 적이 있습니다."
